shortName,symbol,fullExchangeName,dividendDate,trailingAnnualDividendYield,averageAnalystRating,trailingPE,trailingAnnualDividendRate
"Agilent Technologies, Inc.",A,NYSE,2023-04-25 19:00:00,0.006379169,1.9 - Buy,31.818605,0.855
Alcoa Corporation,AA,NYSE,2023-03-22 19:00:00,0.010057832,2.3 - Buy,,0.4
Arlington Asset Investment Corp,AAIN,NYSE,2023-04-30 19:00:00,,,,
Atlantic American Corporation,AAME,NasdaqGM,2022-04-26 19:00:00,0.008097165,,17.857143,0.02
"Aarons Holdings Company, Inc.",AAN,NYSE,2023-04-03 19:00:00,0.04411765,2.7 - Hold,,0.45
"AAON, Inc.",AAON,NasdaqGS,2023-03-30 19:00:00,0.004869211,2.2 - Buy,50.701656,0.43
Advance Auto Parts Inc.,AAP,NYSE,2023-04-27 19:00:00,0.049273223,2.7 - Hold,14.755743,6.0
Apple Inc.,AAPL,NasdaqGS,2023-02-15 18:00:00,0.005948101,2.0 - Buy,26.37056,0.91
"American Assets Trust, Inc.",AAT,NYSE,2023-03-22 19:00:00,0.06801275,3.2 - Hold,25.86111,1.28
AllianceBernstein Holding L.P.,AB,NYSE,2023-03-15 19:00:00,0.084093496,2.7 - Hold,13.375,2.95
ABB Ltd,ABB,NYSE,2022-05-10 19:00:00,0.02838387,2.6 - Hold,26.039999,0.908
AbbVie Inc.,ABBV,NYSE,2023-05-14 19:00:00,0.037063483,2.4 - Buy,23.459215,5.71
AmerisourceBergen Corporation,ABC,NYSE,2023-02-26 18:00:00,0.012465744,2.1 - Buy,18.144392,1.865
Ameris Bancorp,ABCB,NasdaqGS,2023-01-08 18:00:00,0.016308779,2.2 - Buy,7.7194395,0.6
Ambev S.A.,ABEV,NYSE,2023-01-04 18:00:00,0.28754717,2.5 - Buy,15.055555,0.762
ABM Industries Incorporated,ABM,NYSE,2023-04-30 19:00:00,0.01819209,2.0 - Buy,15.552083,0.805
Arbor Realty Trust,ABR,NYSE,2023-03-16 19:00:00,0.13616653,2.2 - Buy,7.232704,1.57
Absolute Software Corporation,ABST,NasdaqGS,2023-02-22 18:00:00,0.032042723,2.0 - Buy,,0.24
Abbott Laboratories,ABT,NYSE,2023-05-14 19:00:00,0.0196319,2.0 - Buy,25.523195,1.92
"Associated Capital Group, Inc.",AC,NYSE,2022-12-14 18:00:00,0.0054704593,,,0.2
Acco Brands Corporation,ACCO,NYSE,2023-04-04 19:00:00,0.058939096,2.0 - Buy,,0.3
Arch Capital Group Ltd. - Depos,ACGLN,NasdaqGS,2023-03-30 19:00:00,0.0,,4.0886807,0.0
Arch Capital Group Ltd. - Depos,ACGLO,NasdaqGS,2023-03-30 19:00:00,0.0,,4.6813045,0.0
"Albertsons Companies, Inc.",ACI,NYSE,2023-02-09 18:00:00,0.024328433,2.6 - Hold,7.935484,0.48
AECOM,ACM,NYSE,2023-04-20 19:00:00,0.0076096146,1.6 - Buy,33.653225,0.63
Accenture plc,ACN,NYSE,2023-02-14 18:00:00,0.016980136,2.1 - Buy,23.571297,4.18
ACNB Corporation,ACNB,NasdaqCM,2023-03-14 19:00:00,0.033125,,8.06988,1.06
Ares Commercial Real Estate Cor,ACRE,NYSE,2023-04-17 19:00:00,0.14473686,2.0 - Buy,16.052631,1.32
"Enact Holdings, Inc.",ACT,NasdaqGS,2023-03-08 18:00:00,0.019125683,2.6 - Hold,5.1004567,0.42
Acme,ACU,NYSE American,2023-01-26 18:00:00,0.022878535,1.0 - Strong Buy,29.439024,0.55
Agree Realty Corporation,ADC,NYSE,2023-03-13 19:00:00,0.040847532,1.7 - Buy,37.289616,2.805
Adeia Inc.,ADEA,NasdaqGS,2023-03-28 19:00:00,0.024038462,1.7 - Buy,6.761905,0.2
"Analog Devices, Inc.",ADI,NasdaqGS,2023-03-07 18:00:00,0.017165037,2.0 - Buy,28.800926,3.14
"Automatic Data Processing, Inc.",ADP,NasdaqGS,2023-03-31 19:00:00,0.020492379,3.0 - Hold,28.73502,4.37
ADT Inc.,ADT,NYSE,2023-04-03 19:00:00,0.02017291,2.5 - Buy,36.842106,0.14
"ADTRAN Holdings, Inc.",ADTN,NasdaqGS,2023-03-20 19:00:00,0.023468059,2.0 - Buy,,0.36
"Adams Resources & Energy, Inc.",AE,NYSE American,2023-03-23 19:00:00,0.0,1.5 - Strong Buy,13.687708,0.0
Ameren Corporation,AEE,NYSE,2023-03-30 19:00:00,0.02768653,2.2 - Buy,20.390997,2.36
AEGON N.V.,AEG,NYSE,2023-06-28 19:00:00,0.04683841,2.5 - Buy,14.433332,0.2
"Advanced Energy Industries, Inc",AEIS,NasdaqGS,2023-03-02 18:00:00,0.004234148,2.3 - Buy,18.011215,0.4
American Equity Investment Life,AEL,NYSE,2022-12-12 18:00:00,0.01087942,2.6 - Hold,2.6345258,0.36
Agnico Eagle Mines Limited,AEM,NYSE,2023-03-14 19:00:00,0.033215698,1.8 - Buy,31.27922,1.6
"American Eagle Outfitters, Inc.",AEO,NYSE,2023-04-20 19:00:00,0.02706767,3.0 - Hold,20.921877,0.36
American Electric Power Company,AEP,NasdaqGS,2023-03-09 18:00:00,0.03423696,2.3 - Buy,20.002174,3.17
