shortName,symbol,fullExchangeName,dividendDate,trailingAnnualDividendRate,trailingAnnualDividendYield
"Agilent Technologies, Inc.",A,NYSE,2023-04-25 19:00:00,0.855,0.006379169
Alcoa Corporation,AA,NYSE,2023-03-22 19:00:00,0.4,0.010057832
Investment Managers Series Trus,AAA,NYSEArca,,,
Goldman Sachs Physical Gold ETF,AAAU,BATS,,0.0,0.0
Ares Acquisition Corporation,AAC,NYSE,,0.0,0.0
,AAC-WS,,,,
ATA Creativity Global,AACG,NasdaqGM,2018-08-23 19:00:00,0.0,0.0
Armada Acquisition Corp. I,AACI,NasdaqGM,,0.0,0.0
Armada Acquisition Corp. I,AACIU,NasdaqGM,,0.0,0.0
Armada Acquisition Corp. I Warrant,AACIW,NasdaqGM,,,
"Aadi Bioscience, Inc.",AADI,NasdaqCM,,0.0,0.0
AdvisorShares Dorsey Wright,AADR,NasdaqGM,,,
Arlington Asset Investment Corp,AAIC,NYSE,2020-02-02 18:00:00,0.0,0.0
Arlington Asset Investment Corp,AAIN,NYSE,2023-04-30 19:00:00,,
"American Airlines Group, Inc.",AAL,NasdaqGS,2020-02-18 18:00:00,0.0,0.0
Altisource Asset Management Cor,AAMC,NYSE American,,0.0,0.0
Atlantic American Corporation,AAME,NasdaqGM,2022-04-26 19:00:00,0.02,0.008097165
"Aarons Holdings Company, Inc.",AAN,NYSE,2023-04-03 19:00:00,0.45,0.04411765
"Applied Optoelectronics, Inc.",AAOI,NasdaqGM,,0.0,0.0
"AAON, Inc.",AAON,NasdaqGS,2023-03-30 19:00:00,0.43,0.004869211
Advance Auto Parts Inc.,AAP,NYSE,2023-04-27 19:00:00,6.0,0.049273223
GraniteShares 1.75x Long AAPL D,AAPB,NasdaqGM,,0.0,0.0
Direxion Daily AAPL Bear 1X Sha,AAPD,NasdaqGM,,0.0,0.0
Apple Inc.,AAPL,NasdaqGS,2023-02-15 18:00:00,0.91,0.005948101
Direxion Daily AAPL Bull 1.5X S,AAPU,NasdaqGM,,0.0,0.0
"American Assets Trust, Inc.",AAT,NYSE,2023-03-22 19:00:00,1.28,0.06801275
"Almaden Minerals, Ltd.",AAU,NYSE American,,0.0,0.0
Atlas Air Worldwide Holdings,AAWW,NasdaqGS,,0.0,0.0
iShares MSCI All Country Asia e,AAXJ,NasdaqGM,2016-12-27 18:00:00,0.0,0.0
AllianceBernstein Holding L.P.,AB,NYSE,2023-03-15 19:00:00,2.95,0.084093496
ABB Ltd,ABB,NYSE,2022-05-10 19:00:00,0.908,0.02838387
AbbVie Inc.,ABBV,NYSE,2023-05-14 19:00:00,5.71,0.037063483
AmerisourceBergen Corporation,ABC,NYSE,2023-02-26 18:00:00,1.865,0.012465744
Ameris Bancorp,ABCB,NasdaqGS,2023-01-08 18:00:00,0.6,0.016308779
AbCellera Biologics Inc.,ABCL,NasdaqGS,,0.0,0.0
Abcam plc,ABCM,NasdaqGS,,0.0,0.0
Abeona Therapeutics Inc.,ABEO,NasdaqCM,,0.0,0.0
Absolute Select Value ETF,ABEQ,NYSEArca,,,
Ambev S.A.,ABEV,NYSE,2023-01-04 18:00:00,0.762,0.28754717
Asbury Automotive Group Inc,ABG,NYSE,2008-08-21 19:00:00,0.0,0.0
"ARCA biopharma, Inc.",ABIO,NasdaqCM,2019-04-03 19:00:00,0.0,0.0
ABM Industries Incorporated,ABM,NYSE,2023-04-30 19:00:00,0.805,0.01819209
"Airbnb, Inc.",ABNB,NasdaqGS,,0.0,0.0
"Acumen Pharmaceuticals, Inc.",ABOS,NasdaqGS,,0.0,0.0
Arbor Realty Trust,ABR,NYSE,2023-03-16 19:00:00,1.57,0.13616653
Absci Corporation,ABSI,NasdaqGS,,0.0,0.0
Absolute Software Corporation,ABST,NasdaqGS,2023-02-22 18:00:00,0.24,0.032042723
Abbott Laboratories,ABT,NYSE,2023-05-14 19:00:00,1.92,0.0196319
Arbutus Biopharma Corporation,ABUS,NasdaqGS,,0.0,0.0
"ABVC Biopharma, Inc.",ABVC,NasdaqCM,2019-05-07 19:00:00,0.0,0.0
"Associated Capital Group, Inc.",AC,NYSE,2022-12-14 18:00:00,0.2,0.0054704593
"Arcosa, Inc.",ACA,NYSE,2021-10-28 19:00:00,0.2,0.0033630403
Atlantic Coastal Acquisition Co,ACAB,NasdaqGM,,0.0,0.0
Atlantic Coastal Acquisition Co,ACABU,NasdaqGM,,0.0,0.0
Atlantic Coastal Acquisition Co,ACABW,NasdaqGM,,0.0,0.0
Acri Capital Acquisition Corpor,ACAC,NasdaqGM,,0.0,0.0
Acri Capital Acquisition Corpor,ACACU,NasdaqGM,,0.0,0.0
,ACACW,NasdaqGM,,0.0,0.0
ACADIA Pharmaceuticals Inc.,ACAD,NasdaqGS,,0.0,0.0
Atlantic Coastal Acquisition Co,ACAH,NasdaqCM,,0.0,0.0
Atlantic Coastal Acquisition Co,ACAHU,NasdaqCM,,0.0,0.0
Atlantic Coastal Acquisition Corp. Warrant,ACAHW,NasdaqCM,,,
Athena Consumer Acquisition Cor,ACAQ,NYSE American,,0.0,0.0
,ACAQ-WS,,,,
Alset Capital Acquisition Corp.,ACAX,NasdaqGM,,0.0,0.0
Alset Capital Acquisition Corp.,ACAXR,NasdaqGM,,0.0,0.0
Alset Capital Acquisition Corp.,ACAXU,NasdaqGM,,0.0,0.0
,ACAXW,NasdaqGM,,0.0,0.0
Aurora Cannabis Inc.,ACB,NasdaqGS,2020-05-10 19:00:00,0.0,0.0
Ace Global Business Acquisition,ACBA,NasdaqCM,,0.0,0.0
Ace Global Business Acquisition,ACBAU,NasdaqCM,,0.0,0.0
Ace Global Business Acquisition Limited Warrant,ACBAW,NasdaqCM,,,
"Accolade, Inc.",ACCD,NasdaqGS,,0.0,0.0
Acco Brands Corporation,ACCO,NYSE,2023-04-04 19:00:00,0.3,0.058939096
ProFrac Holding Corp.,ACDC,NasdaqGS,,0.0,0.0
ProFrac Holding Corp. Warrant,ACDCW,NasdaqGS,,0.0,0.0
"Accel Entertainment, Inc.",ACEL,NYSE,,0.0,0.0
Acer Therapeutics Inc.,ACER,NasdaqCM,2017-09-20 19:00:00,0.0,0.0
ALPS Clean Energy ETF,ACES,NYSEArca,,,
"Adicet Bio, Inc.",ACET,NasdaqGM,2020-09-15 19:00:00,0.0,0.0
Arch Capital Group Ltd.,ACGL,NasdaqGS,,0.0,0.0
Arch Capital Group Ltd. - Depos,ACGLN,NasdaqGS,2023-03-30 19:00:00,0.0,0.0
Arch Capital Group Ltd. - Depos,ACGLO,NasdaqGS,2023-03-30 19:00:00,0.0,0.0
"Aceragen, Inc.",ACGN,NasdaqCM,2018-07-29 19:00:00,0.0,0.0
"Acadia Healthcare Company, Inc.",ACHC,NasdaqGS,,0.0,0.0
Achilles Therapeutics plc,ACHL,NasdaqGS,,0.0,0.0
Archer Aviation Inc.,ACHR,NYSE,,0.0,0.0
"Achieve Life Sciences, Inc.",ACHV,NasdaqCM,2020-07-30 19:00:00,0.0,0.0
"Albertsons Companies, Inc.",ACI,NYSE,2023-02-09 18:00:00,0.48,0.024328433
ETF Series Solutions Aptus Coll,ACIO,BATS,,,
AC Immune SA,ACIU,NasdaqGM,,0.0,0.0
"ACI Worldwide, Inc.",ACIW,NasdaqGS,,0.0,0.0
"Axcelis Technologies, Inc.",ACLS,NasdaqGS,,0.0,0.0
"Arcellx, Inc.",ACLX,NasdaqGS,,0.0,0.0
AECOM,ACM,NYSE,2023-04-20 19:00:00,0.63,0.0076096146
"ACM Research, Inc.",ACMR,NasdaqGM,,0.0,0.0
Accenture plc,ACN,NYSE,2023-02-14 18:00:00,4.18,0.016980136
ACNB Corporation,ACNB,NasdaqCM,2023-03-14 19:00:00,1.06,0.033125
Ascent Industries Co.,ACNT,NasdaqGM,2018-12-11 18:00:00,0.0,0.0
"Aclarion, Inc.",ACON,NasdaqCM,,0.0,0.0
,ACONW,NasdaqCM,,0.0,0.0
"Acorda Therapeutics, Inc.",ACOR,NasdaqGS,2021-01-03 18:00:00,0.0,0.0
Aberdeen Income Credit Strategi,ACP,NYSE,2019-01-30 18:00:00,1.2,0.17725259
Independence Holdings Corp.,ACQR,NasdaqCM,,0.0,0.0
Independence Holdings Corp.,ACQRU,NasdaqCM,,0.0,0.0
Independence Holdings Corp. Warrant,ACQRW,NasdaqCM,,,
ACRES Commercial Realty Corp.,ACR,NYSE,2020-04-27 19:00:00,0.0,0.0
Ares Commercial Real Estate Cor,ACRE,NYSE,2023-04-17 19:00:00,1.32,0.14473686
Acropolis Infrastructure Acquis,ACRO,NYSE,,0.0,0.0
,ACRO-WS,,,,
"Aclaris Therapeutics, Inc.",ACRS,NasdaqGS,,0.0,0.0
"Acrivon Therapeutics, Inc.",ACRV,NasdaqGM,,0.0,0.0
"AcelRx Pharmaceuticals, Inc.",ACRX,NasdaqGM,,0.0,0.0
American Customer Satisfaction ,ACSI,BATS,,,
"Acasti Pharma, Inc.",ACST,NasdaqCM,,0.0,0.0
"Enact Holdings, Inc.",ACT,NasdaqGS,2023-03-08 18:00:00,0.42,0.019125683
Acacia Research Corporation,ACTG,NasdaqGS,2015-11-29 18:00:00,0.0,0.0
LeaderShares Activist Leaders E,ACTV,NYSEArca,,,
Acme,ACU,NYSE American,2023-01-26 18:00:00,0.55,0.022878535
568516,ACV,NYSE,2018-02-28 18:00:00,0.0,0.0
ACV Auctions Inc.,ACVA,NasdaqGS,,0.0,0.0
American Conservative Values ET,ACVF,NYSEArca,,,
iShares MSCI ACWI ETF,ACWI,NasdaqGM,2016-12-27 18:00:00,0.0,0.0
iShares MSCI Global Min Vol Fac,ACWV,BATS,,,
iShares MSCI ACWI ex US Index F,ACWX,NasdaqGM,2016-12-27 18:00:00,,
"Acurx Pharmaceuticals, Inc.",ACXP,NasdaqCM,,0.0,0.0
Adagene Inc.,ADAG,NasdaqGM,,0.0,0.0
Anthemis Digital Acquisitions I,ADAL,NasdaqGM,,0.0,0.0
Anthemis Digital Acquisitions I,ADALU,NasdaqGM,,0.0,0.0
Anthemis Digital Acquisitions I Corp Warrant,ADALW,NasdaqGM,,,
